epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
98,1259.15,1.69412,1.84996,1.36512,0.0041,0.61068,0.57086,0.53095,0.53393,0.29853,0.55588,0.42916,0.4635,0.20463,1.89617,1.87142,1.3487,0.00495,0,0.000356132,0.000356132,0.000356132
99,1275.55,1.77547,1.8947,1.34344,0.00397,0.68885,0.6013,0.52298,0.53793,0.30753,0.53827,0.48688,0.48893,0.24019,1.87326,1.85542,1.32348,0.00475,0,0.000344586,0.000344586,0.000344586
100,1295.14,1.72872,1.83162,1.3002,0.00382,0.59901,0.62834,0.52314,0.55603,0.31148,0.58471,0.42025,0.46115,0.21028,1.87968,1.90231,1.34172,0.00476,0,0.000333165,0.000333165,0.000333165
101,1308.15,1.74536,1.81352,1.29213,0.00402,0.62386,0.62238,0.54441,0.56618,0.31178,0.56759,0.48716,0.48758,0.22572,1.84066,1.9515,1.35053,0.00465,0,0.000321875,0.000321875,0.000321875
102,1319.67,1.73532,1.83353,1.28122,0.00404,0.61935,0.60383,0.57157,0.5647,0.30715,0.51237,0.48138,0.45596,0.20648,1.85874,1.88274,1.33914,0.00467,0,0.000310721,0.000310721,0.000310721
103,1329.95,1.72088,1.90136,1.31772,0.0041,0.62271,0.60728,0.5502,0.55357,0.30666,0.49017,0.50146,0.45005,0.19976,1.87173,1.90809,1.33529,0.00479,0,0.000299707,0.000299707,0.000299707
104,1340.29,1.72239,1.77647,1.26836,0.0037,0.61684,0.62576,0.55671,0.55693,0.30939,0.54543,0.46999,0.44337,0.19469,1.85369,1.92634,1.33374,0.0047,0,0.000288839,0.000288839,0.000288839
105,1350.97,1.66995,1.73077,1.30073,0.00383,0.62967,0.61817,0.58115,0.57176,0.31674,0.54107,0.50287,0.47742,0.21286,1.81424,1.90446,1.30663,0.00462,0,0.000278121,0.000278121,0.000278121
106,1369.73,1.79362,1.87703,1.32402,0.00392,0.64774,0.64044,0.56981,0.56694,0.32428,0.56255,0.49322,0.47792,0.21315,1.82239,1.94226,1.30314,0.0047,0,0.000267558,0.000267558,0.000267558
107,1387.84,1.62646,1.71109,1.1974,0.00376,0.56863,0.6483,0.5701,0.56388,0.3055,0.56098,0.48019,0.46124,0.22281,1.86998,1.88554,1.31331,0.00488,0,0.000257154,0.000257154,0.000257154
108,1405.46,1.7048,1.76013,1.25549,0.00373,0.60455,0.61431,0.56882,0.57778,0.31837,0.51794,0.46658,0.44369,0.19542,1.85132,1.89104,1.3152,0.00479,0,0.000246915,0.000246915,0.000246915
109,1423,1.75817,1.78703,1.26076,0.00394,0.61339,0.58961,0.55337,0.57253,0.31799,0.49487,0.45613,0.425,0.19507,1.85536,1.90251,1.32158,0.00483,0,0.000236844,0.000236844,0.000236844
110,1440.53,1.70498,1.78601,1.23553,0.00387,0.53773,0.58162,0.58626,0.57081,0.3173,0.46599,0.468,0.4365,0.19314,1.86919,1.93323,1.31033,0.00482,0,0.000226946,0.000226946,0.000226946
111,1457.66,1.76565,1.7998,1.33802,0.00415,0.65356,0.60572,0.55993,0.57498,0.3253,0.49443,0.47714,0.44558,0.20352,1.86025,1.90413,1.2999,0.00486,0,0.000217225,0.000217225,0.000217225
112,1474.99,1.65939,1.75495,1.19012,0.00385,0.51935,0.63082,0.54024,0.55824,0.32034,0.53463,0.45607,0.44905,0.20515,1.85226,1.95745,1.3155,0.00486,0,0.000207686,0.000207686,0.000207686
